Name,Price,Size,Energi (kcal),Energi (kJ),Fett,Varav mättat fett,Kolhydrat,Varav sockerarter,Protein,Salt,Kalium,Klorid,Kalcium,Fluorid,Magnesium,Natrium,Vitamin B12,Vitamin B6,Vitamin C,Riboflavin,Niacin,Pantotensyra,Biotin,Krom,Fiber,Folsyra,Vitamin D,Vitamin E,Selen,Zink,Fosfor,Koppar,Järn,Mangan,Varav polyoler,Vitamin A,Tiamin,Citronsyra,url
Äpplejuice 1l Bravo,"32,90 kr","1L 32,90 kr/l",45 kcal,180 kJ,0 g,0 g,9.5 g,9.5 g,0 g,0 g,,,,,,,,,,,,,,,0.2 g,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/%C3%A4pplejuice-1l-bravo/1437720
Lightdryck Fläder 1l ICA,"31,90 kr","10L 3,19 kr/l exkl pant",1 kcal,4 kJ,0 g,0 g,0 g,0 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/lightdryck-fl%C3%A4der-1l-ica/2023954
Classic Cinnamon spice 17-p KRAV Yogi Tea,"46,90 kr","17 per frp 2,76 kr/st",0.5 kcal,2 kJ,0.1 g,0.1 g,0.1 g,0.1 g,0.1 g,0.01 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/classic-cinnamon-spice-17-p-krav-yogi-tea/1432077
Kaffe Festivita Extra mörk 500g Arvid Nordquist Classic,"103,00 kr","0.5kg 206,00 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kaffe-festivita-extra-m%C3%B6rk-500g-arvid-nordquist-classic/1003807
Snabbkaffe Gold Rich Caramel 95g Nescafe,"88,00 kr","0.095kg 926,32 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/snabbkaffe-gold-rich-caramel-95g-nescafe/2151313
Kolsyrat Vatten Jordgubb 50cl Ramlösa,"15,90 kr","0.5L 31,80 kr/l exkl pant",,,,,,,,,4 mg,39 mg,100 mg,0.2 mg,11.5 mg,16 mg,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kolsyrat-vatten-jordgubb-50cl-raml%C3%B6sa/2155324
Juice Blodgrape 1l God Morgon®,"42,90 kr","1L 42,90 kr/l",41 kcal,172 kJ,0.5 g,0 g,8 g,8 g,0.6 g,0 g,,,,,,,,,20 mg,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/juice-blodgrape-1l-god-morgon/1201756
Läsk Orange 50cl Fanta,"19,90 kr","0.5L 39,80 kr/l exkl pant",19 kcal,79 kJ,0 g,0 g,4 g,4 g,0 g,0.01 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4sk-orange-50cl-fanta/2125541
Öl IPA Peoples Bulldog 3.5% 33cl Gotlands Bryggeri,"21,90 kr","0.33L 66,36 kr/l exkl pant",40 kcal,170 kJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/%C3%B6l-ipa-peoples-bulldog-3-5-33cl-gotlands-bryggeri/2132281
"Öl 3,5% 50cl Mariestads","21,00 kr","0.5L 42,00 kr/l exkl pant",37 kcal,154 kJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/%C3%B6l-3-5-50cl-mariestads/1255691
Kaffefilter oblekta 102 80-p ICA,"19,90 kr","80 per frp 0,25 kr/st",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kaffefilter-oblekta-102-80-p-ica/2021773
"Öl Bayersk 2,8% 50cl Falcon","10,90 kr","0.5L 21,80 kr/l exkl pant",28 kcal,119 kJ,0 g,0 g,3 g,0 g,0.3 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/%C3%B6l-bayersk-2-8-50cl-falcon/1397522
Läsk 7-UP Free 50cl,"18,90 kr","0.5L 37,80 kr/l exkl pant",1 kcal,5 kJ,0 g,0 g,0 g,0 g,0.1 g,0.05 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4sk-7-up-free-50cl/2073927
Bryggkaffe Intenzo 450g Zoegas,"109,00 kr","0.45kg 242,22 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/bryggkaffe-intenzo-450g-zoegas/1499234
Apelsinjuice Nypressad 300ml Brämhults,"35,90 kr","0.3L 119,67 kr/l exkl pant",43 kcal,182 kJ,0 g,0 g,9 g,9 g,0.7 g,0 g,,,,,,,,,45 mg,,,,,,0.7 g,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/apelsinjuice-nypressad-300ml-br%C3%A4mhults/2063055
Energidryck Focus Pearade 33cl Nocco,"26,90 kr","0.33L 81,52 kr/l exkl pant",1 kcal,4 kJ,0 g,0 g,0 g,0 g,0 g,0 g,,,,,,,0.76 µg,0.42 mg,,,3.9 mg,,15 µg,,0 g,30 µg,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/energidryck-focus-pearade-33cl-nocco/2100080
Svart Te Earl Grey 25st Lipton,"26,90 kr","25 per frp 1,08 kr/st",4 kcal,17 kJ,0.5 g,0.01 g,0.5 g,0.5 g,0.5 g,0.01 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/svart-te-earl-grey-25st-lipton/2166216
Läsk Cola Zero 50cl Coca-Cola,"19,90 kr","0.5L 39,80 kr/l exkl pant",0.3 kcal,1.3 kJ,0 g,0 g,0 g,0 g,0 g,0.01 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4sk-cola-zero-50cl-coca-cola/1328140
"Juice Tropisk 1,75l God Morgon®","53,00 kr","1.75L 30,29 kr/l",45 kcal,190 kJ,0.5 g,0 g,10 g,9.7 g,0.3 g,0.01 g,,,,,,,,,,,,,,,0.5 g,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/juice-tropisk-1-75l-god-morgon/2052869
English breakfast te 25-p Twinings,"44,90 kr","25 per frp 1,80 kr/st",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/english-breakfast-te-25-p-twinings/1487016
Vin Mousserande Alkoholfri 750ml Mionetto,"124,00 kr","0.75L 165,33 kr/l",11 kcal,48 kJ,0.5 g,0.1 g,2.6 g,2 g,0.5 g,0.01 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/vin-mousserande-alkoholfri-750ml-mionetto/2085463
Juice Apple Pink Lady 900ml Tropicana,"46,90 kr","0.9L 52,11 kr/l exkl pant",47 kcal,198 kJ,0 g,0 g,11 g,11 g,0.2 g,0 g,,,,,,,,,,,,,,,0.6 g,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/juice-apple-pink-lady-900ml-tropicana/2166503
