Name,Price,Size,Energi (kcal),Energi (kJ),Fett,Varav mättat fett,Kolhydrat,Varav sockerarter,Protein,Salt,Fiber,Vitamin D,Kalcium,Järn,Natrium,Zink,Varav fleromättat fett,Varav enkelomättat fett,Selen,url
Bacon Skivat 3-p 420g ICA,"52,00 kr","0.42kg 123,81 kr/kg",260 kcal,1100 kJ,21 g,8 g,0.5 g,0.5 g,17 g,2.2 g,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/bacon-skivat-3-p-420g-ica/2044085
Leverpastej Original Bredbar 200g ICA,"15,90 kr","0.2kg 79,50 kr/kg",274 kcal,1135 kJ,23 g,8.7 g,8.1 g,2.5 g,8.6 g,1.4 g,,,,5.6 mg,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/leverpastej-original-bredbar-200g-ica/1484839
Kabanoss Smal 89% kötthalt 225g ICA,"39,90 kr","0.225kg 177,33 kr/kg",270 kcal,1100 kJ,22 g,9.7 g,5 g,1.4 g,13 g,2 g,,,,,0.8 g,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kabanoss-smal-89-k%C3%B6tthalt-225g-ica/1407648
Salami Chips Chili 80g Göl,"33,90 kr","0.08kg 423,75 kr/kg",478 kcal,1980 kJ,40 g,18 g,4 g,0.5 g,24 g,3.8 g,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/salami-chips-chili-80g-g%C3%B6l/2076780
Blandfärs Färsk 21% 500g ICA,"66,00 kr","0.5kg 132,00 kr/kg",265 kcal,1100 kJ,21 g,9.2 g,0.5 g,0.5 g,19 g,0.2 g,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/blandf%C3%A4rs-f%C3%A4rsk-21-500g-ica/2107383
Korv Fuet 170g ICA,"49,90 kr","0.17kg 293,53 kr/kg",430 kcal,1782 kJ,36 g,14 g,2.5 g,2.5 g,24 g,4.5 g,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/korv-fuet-170g-ica/2065262
Entrecôte för 2 300g Hacksta Köttdisk,"139,00 kr","0.3kg 463,33 kr/kg",140 kcal,600 kJ,6.1 g,3 g,0.5 g,0.5 g,22 g,0.2 g,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/entrec%C3%B4te-f%C3%B6r-2-300g-hacksta-k%C3%B6ttdisk/2093240
Pancetta 100g ICA,"37,90 kr","0.1kg 379,00 kr/kg",375 kcal,1553 kJ,33 g,11 g,,,19 g,3.5 g,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pancetta-100g-ica/1490857
Kycklingben Fryst 1kg Kronfågel,"49,90 kr","1kg 49,90 kr/kg",120 kcal,500 kJ,6 g,1.2 g,0.5 g,0.5 g,16 g,0.6 g,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kycklingben-fryst-1kg-kronf%C3%A5gel/1003496
Kycklinglårfilé Färsk Mörad 720g ICA Basic,"88,00 kr","0.72kg 122,22 kr/kg",121 kcal,509 kJ,5.8 g,1.4 g,0.5 g,0.5 g,17 g,0.5 g,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kycklingl%C3%A5rfil%C3%A9-f%C3%A4rsk-m%C3%B6rad-720g-ica-basic/2106341
Salami Chips Classic 80g Göl,"33,90 kr","0.08kg 423,75 kr/kg",507 kcal,2101 kJ,44 g,16 g,2.8 g,1 g,25 g,3.7 g,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/salami-chips-classic-80g-g%C3%B6l/2076779
Chorizo 300g ICA,"37,90 kr","0.3kg 126,33 kr/kg",250 kcal,1050 kJ,21 g,7 g,4 g,1.8 g,12 g,1.9 g,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/chorizo-300g-ica/1025797
Chorizo 100g ICA,"35,90 kr","0.1kg 359,00 kr/kg",,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/chorizo-100g-ica/1461369
Kalkon Rökt 120g Pärsons,"40,90 kr","0.12kg 340,83 kr/kg",90 kcal,375 kJ,1 g,0.4 g,0.9 g,0.4 g,19 g,2.4 g,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kalkon-r%C3%B6kt-120g-p%C3%A4rsons/1276500
Rostbiff 100g ICA,"39,90 kr","0.1kg 399,00 kr/kg",130 kcal,540 kJ,1.2 g,0.5 g,0.5 g,0.5 g,27 g,1.7 g,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/rostbiff-100g-ica/1422153
Ölkorv Red Devil 50g Ridderheims,"22,90 kr","0.05kg 458,00 kr/kg",440 kcal,1850 kJ,36 g,18 g,2.5 g,1.6 g,27 g,4.3 g,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/%C3%B6lkorv-red-devil-50g-ridderheims/1476500
Salami Chips Garlic 80g Göl,"33,90 kr","0.08kg 423,75 kr/kg",478 kcal,1980 kJ,40 g,18 g,4 g,0.5 g,24 g,3.8 g,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/salami-chips-garlic-80g-g%C3%B6l/2076781
Kalkon Rökt Tunna Skivor 200g ICA,"49,90 kr","0.2kg 249,50 kr/kg",100 kcal,420 kJ,1.1 g,0.5 g,1.2 g,0.5 g,21 g,,,,,,,,,,2.2 µg,https://handlaprivatkund.ica.se/stores/1004181/products/kalkon-r%C3%B6kt-tunna-skivor-200g-ica/1128033
Coppa 70g ICA,"36,90 kr","0.07kg 527,14 kr/kg",,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/coppa-70g-ica/1457382
Grillad kyckling 120g ICA,"36,90 kr","0.12kg 307,50 kr/kg",92 kcal,390 kJ,1.5 g,0.5 g,2.2 g,0.8 g,17 g,2.5 g,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/grillad-kyckling-120g-ica/1468657
Bacon Tärnad 140g ICA,"21,90 kr","0.14kg 156,43 kr/kg",260 kcal,1100 kJ,21 g,8 g,0.5 g,0.5 g,17 g,2.2 g,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/bacon-t%C3%A4rnad-140g-ica/2050740
Ryggbiff Färsk Skivad 200g ICA,"91,00 kr","0.2kg 455,00 kr/kg",120 kcal,550 kJ,3.9 g,1.6 g,0 g,0 g,22 g,0.2 g,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/ryggbiff-f%C3%A4rsk-skivad-200g-ica/1512840
