Name,Price,Size,Energi (kcal),Energi (kJ),Fett,Varav mättat fett,Kolhydrat,Varav sockerarter,Protein,Salt,Fiber,Kalium,Tiamin,Zink,Varav enkelomättat fett,Varav fleromättat fett,Järn,Magnesium,Folsyra,Fosfor,Vitamin C,Vitamin E,Natrium,Kalcium,Niacin,url
Pastasås Basilico 400g Barilla,"32,90 kr","0.4kg 82,25 kr/kg",64 kcal,268 kJ,2.6 g,0.3 g,7.6 g,5.9 g,1.6 g,0.9 g,1.9 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pastas%C3%A5s-basilico-400g-barilla/1008013
Pasta Penne Rigate 500g ICA Basic,"13,90 kr","0.5kg 27,80 kr/kg",364 kcal,1543 kJ,1.7 g,0.3 g,75 g,2.6 g,12 g,0.01 g,3.1 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pasta-penne-rigate-500g-ica-basic/2089171
Pizzasås Tomat 400g Mutti,"32,90 kr","0.4kg 82,25 kr/kg",36 kcal,150 kJ,0.5 g,0.1 g,5.4 g,4.2 g,1.6 g,0.75 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pizzas%C3%A5s-tomat-400g-mutti/1489300
Rapsolja 1l ICA,"38,90 kr","1L 38,90 kr/l",828 kcal,3404 kJ,92 g,7 g,0 g,0 g,0 g,0 g,,,,,57 g,28 g,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/rapsolja-1l-ica/1026214
Tomatsås Basilika 400g Mutti,"46,90 kr","0.4kg 117,25 kr/kg",56 kcal,234 kJ,2.8 g,0.5 g,5.3 g,4.5 g,1.6 g,0.81 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/tomats%C3%A5s-basilika-400g-mutti/2087025
Köttfärssås Original 500g Findus,"36,90 kr","0.5kg 73,80 kr/kg",89 kcal,373 kJ,4.9 g,1.5 g,6.1 g,3.2 g,4.6 g,0.88 g,1.2 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/k%C3%B6ttf%C3%A4rss%C3%A5s-original-500g-findus/1004405
Sötmandel 400g ICA Basic,"62,00 kr","0.4kg 155,00 kr/kg",614 kcal,2543 kJ,52 g,4.9 g,13 g,6.6 g,20 g,0.03 g,7.2 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/s%C3%B6tmandel-400g-ica-basic/2109464
Fusilli Fullkorn 500g Kungsörnen,"26,90 kr","0.5kg 53,80 kr/kg",352 kcal,1473 kJ,2 g,0.5 g,65 g,3 g,14 g,0.01 g,7 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/fusilli-fullkorn-500g-kungs%C3%B6rnen/1458555
Müsli Gold Original 750g AXA,"56,00 kr","0.75kg 74,67 kr/kg",380 kcal,1588 kJ,9.1 g,2.7 g,61 g,22 g,8.3 g,0.36 g,9.2 g,,,1.7 mg,,,3.1 mg,77 mg,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/m%C3%BCsli-gold-original-750g-axa/1003308
Nudlar Oriental 85g Samyang,"8,90 kr","0.085kg 104,71 kr/kg",435 kcal,1821 kJ,16.5 g,8.2 g,63.5 g,2.4 g,8.2 g,5 g,4 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/nudlar-oriental-85g-samyang/1003161
Kokosmjölk 400ml ICA Asia,"19,90 kr","0.4L 49,75 kr/l",180 kcal,760 kJ,18 g,16 g,3 g,2.2 g,1.8 g,0.1 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kokosmj%C3%B6lk-400ml-ica-asia/1026268
Pastasås Tomatsås med Vitlök 390g ICA,"30,90 kr","0.39kg 79,23 kr/kg",22 kcal,91 kJ,0.4 g,0 g,5 g,4.7 g,1.2 g,1.5 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pastas%C3%A5s-tomats%C3%A5s-med-vitl%C3%B6k-390g-ica/1363338
Flingor Crunchy Yoghurt & jordgubb Mindre socker 725g ICA,"48,90 kr","0.725kg 67,45 kr/kg",438 kcal,1834 kJ,16 g,4.9 g,57 g,17 g,9.3 g,0.54 g,14 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/flingor-crunchy-yoghurt-jordgubb-mindre-socker-725g-ica/2021884
Pasta Penne Rigate 500g Barilla,"22,90 kr","0.5kg 45,80 kr/kg",359 kcal,1521 kJ,2 g,0.5 g,71 g,3.5 g,13 g,0.01 g,3 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pasta-penne-rigate-500g-barilla/1007537
Bakchoklad Vit 100g ICA,"21,90 kr","0.1kg 219,00 kr/kg",540 kcal,2257 kJ,31 g,19 g,58 g,58 g,7.3 g,0.3 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/bakchoklad-vit-100g-ica/2111797
Finkrossade Tomater Basilika 390g ICA,"17,90 kr","0.39kg 45,90 kr/kg",40 kcal,170 kJ,0.5 g,0 g,7.5 g,4.6 g,1.5 g,1 g,0.9 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/finkrossade-tomater-basilika-390g-ica/1466029
Gräddsås Klassisk 3dl 3-p Blå Band,"20,90 kr","0.9L 23,22 kr/l",57 kcal,238 kJ,2.2 g,1.4 g,6.4 g,3.3 g,2.6 g,0.8 g,0.1 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/gr%C3%A4dds%C3%A5s-klassisk-3dl-3-p-bl%C3%A5-band/1446822
Snabbmakaroner 1kg ICA Basic,"21,90 kr","1kg 21,90 kr/kg",364 kcal,1543 kJ,1.7 g,0.3 g,75 g,2.6 g,12 g,0.01 g,3.1 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/snabbmakaroner-1kg-ica-basic/2089174
Jasminris Boil in bag 500g Ben´s Original,"52,00 kr","0.5kg 104,00 kr/kg",136 kcal,577 kJ,0.5 g,0.1 g,31 g,0.5 g,2.7 g,0.01 g,0.5 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/jasminris-boil-in-bag-500g-ben-s-original/2086770
Tonfisk i vatten 170g ICA Basic,"20,90 kr","0.12kg 174,17 kr/kg u. spad",110 kcal,440 kJ,1 g,0.5 g,0 g,0 g,24 g,1 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/tonfisk-i-vatten-170g-ica-basic/2092308
Classic sticks 47g Dextro Energy,"16,90 kr","0.047kg 359,57 kr/kg",367 kcal,1561 kJ,1 g,1 g,91 g,82 g,0 g,0.1 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/classic-sticks-47g-dextro-energy/1481016
Kokosmjölk Orginal 250ml Santa Maria,"24,90 kr","0.25L 99,60 kr/l",180 kcal,744 kJ,18 g,16 g,2.7 g,2.2 g,1.9 g,0.02 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kokosmj%C3%B6lk-orginal-250ml-santa-maria/2043875
