Name,Price,Size,Energi (kcal),Energi (kJ),Fett,Varav mättat fett,Kolhydrat,Varav sockerarter,Fiber,Protein,Salt,Natrium,Varav fleromättat fett,Varav enkelomättat fett,url
Aioli Original 230ml Lohmanders,"29,90 kr","0.23L 130,00 kr/l",700 kcal,2800 kJ,74 g,5.9 g,1.3 g,0.6 g,,1.5 g,1 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/aioli-original-230ml-lohmanders/2024319
Vegoburgare Glutenfri Fryst 880g Anamma,"114,00 kr","0.88kg 129,55 kr/kg",162 kcal,680 kJ,10 g,0.8 g,2 g,0.4 g,5.4 g,14 g,0.88 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/vegoburgare-glutenfri-fryst-880g-anamma/2011341
Baguette med Rostbiff och Potatissallad 220g ICA,"55,00 kr","0.22kg 250,00 kr/kg",220 kcal,924 kJ,10 g,2 g,25 g,2.5 g,,7 g,0.63 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/baguette-med-rostbiff-och-potatissallad-220g-ica/2107452
Vegansk med bulgursallad och paprikakräm,"89,00 kr","0.42kg 211,90 kr/kg",,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/vegansk-med-bulgursallad-och-paprikakr%C3%A4m/7301005002802
Chilibearnaise 230ml Eriks såser,"35,90 kr","0.23L 156,09 kr/l",700 kcal,3000 kJ,78 g,5.7 g,1.1 g,0.7 g,,1.2 g,0.8 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/chilibearnaise-230ml-eriks-s%C3%A5ser/1369540
Sandwich Varmrökt Lax 220 g Picadeli,"54,00 kr","0.22kg 245,45 kr/kg",298 kcal,1270 kJ,21 g,1.7 g,22 g,2.8 g,,5.6 g,1.3 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/sandwich-varmr%C3%B6kt-lax-220-g-picadeli/2129738
Sandwich Caesar Kyckling 220g Picadeli,"54,00 kr","0.22kg 245,45 kr/kg",274 kcal,1142 kJ,17 g,1.5 g,22 g,3.1 g,,8 g,1 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/sandwich-caesar-kyckling-220g-picadeli/2129741
Dressing Sourcream & Pepper 220ml Max,"32,90 kr","0.22L 149,55 kr/l",550 kcal,2350 kJ,60 g,4.3 g,4 g,3.2 g,,1.1 g,1.1 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/dressing-sourcream-pepper-220ml-max/2092941
Gravlaxsås 200ml Eriks såser,"28,90 kr","0.2L 144,50 kr/l",550 kcal,2350 kJ,54 g,3.5 g,16 g,15 g,,2 g,1 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/gravlaxs%C3%A5s-200ml-eriks-s%C3%A5ser/1465409
Kebabsås Vit Signature 250ml Schysst käk,"35,90 kr","0.25L 143,60 kr/l",439 kcal,1834 kJ,47 g,6.8 g,4 g,2.4 g,,1.4 g,1.7 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kebabs%C3%A5s-vit-signature-250ml-schysst-k%C3%A4k/2169577
Köttfärssås 700g ICA,"86,00 kr","0.7kg 122,86 kr/kg",91 kcal,380 kJ,4.9 g,1.4 g,5.2 g,2.9 g,,5.8 g,1.4 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/k%C3%B6ttf%C3%A4rss%C3%A5s-700g-ica/2166156
Ranchdressing 250ml Rydbergs,"38,90 kr","0.25L 155,60 kr/l",500 kcal,2150 kJ,55 g,5.7 g,4.1 g,2.8 g,,2 g,0.9 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/ranchdressing-250ml-rydbergs/2169568
Thai Cube Tom yum chicken 320g Kitchen Joy,"52,00 kr","0.32kg 162,50 kr/kg",158 kcal,664 kJ,5.9 g,3.1 g,19 g,4.6 g,1.5 g,6.5 g,1.1 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/thai-cube-tom-yum-chicken-320g-kitchen-joy/2067583
Thai Röd Currysoppa 475g Felix,"60,00 kr","0.475kg 126,32 kr/kg",89 kcal,374 kJ,6 g,4.8 g,5.9 g,1.4 g,,2.5 g,0.83 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/thai-r%C3%B6d-currysoppa-475g-felix/1443080
Vegetarisk Ärtsoppa 530g Knorr,"46,90 kr","0.515L 91,07 kr/l",68 kcal,284 kJ,0.5 g,0.2 g,10 g,0.8 g,4.1 g,5.6 g,0.68 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/vegetarisk-%C3%A4rtsoppa-530g-knorr/2026333
Räksallad 200g ICA,"31,90 kr","0.2kg 159,50 kr/kg",394 kcal,1626 kJ,40 g,3.1 g,3.2 g,1.4 g,,5.4 g,1.2 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/r%C3%A4ksallad-200g-ica/2017616
Köttsoppa med grönsaker 550g Knorr,"47,90 kr","1L 47,90 kr/l drickklar",38 kcal,159 kJ,0.7 g,0.3 g,4.1 g,1.8 g,1.4 g,3 g,2.2 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/k%C3%B6ttsoppa-med-gr%C3%B6nsaker-550g-knorr/1004347
Svampsoppa 3 portioner 6dl Varma Koppen,"20,90 kr","0.6L 34,83 kr/l",46 kcal,194 kJ,1.9 g,1.1 g,6.8 g,0.5 g,0.5 g,0.5 g,0.7 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/svampsoppa-3-portioner-6dl-varma-koppen/1008263
Sweet & Sour Original 450g Ben's Original,"35,90 kr","0.45kg 79,78 kr/kg",70 kcal,298 kJ,0.5 g,0.1 g,16 g,13 g,0.8 g,0.5 g,0.42 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/sweet-sour-original-450g-ben-s-original/2087063
Thaisoppa 5dl Kelda,"37,90 kr","0.5L 75,80 kr/l",67 kcal,278 kJ,4 g,2.8 g,5.9 g,3.2 g,,1.6 g,1.1 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/thaisoppa-5dl-kelda/1344326
