Name,Price,Size,Energi (kcal),Energi (kJ),Fett,Varav mättat fett,Kolhydrat,Varav sockerarter,Protein,Salt,Fiber,Varav polyoler,Fosfor,Vitamin B12,Vitamin D,Folsyra,Selen,Järn,Magnesium,Zink,Varav enkelomättat fett,Varav fleromättat fett,Fluorid,Vitamin B6,Natrium,Kalcium,Material,Kalium,Vitamin E,Pantotensyra,url
Choklad Big taste Japp Peanut caramel 276g Marabou,"66,00 kr","0.276kg 239,13 kr/kg",544 kcal,2269 kJ,33 g,16 g,51 g,48 g,9.2 g,0.41 g,2.3 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/choklad-big-taste-japp-peanut-caramel-276g-marabou/2018563
S-märken Sura 70g Candypeople,"16,90 kr","0.07kg 241,43 kr/kg",370 kcal,1550 kJ,0 g,0 g,85 g,79 g,3 g,0.1 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/s-m%C3%A4rken-sura-70g-candypeople/1499448
Kexchoklad 60g Cloetta,"14,90 kr","0.06kg 248,33 kr/kg",502 kcal,2106 kJ,24 g,14 g,61 g,42 g,9.7 g,0.41 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kexchoklad-60g-cloetta/1487409
Halstablett Blue Extra Strong sockerfri 72g Vicks,"27,90 kr","0.072kg 387,50 kr/kg",236 kcal,985 kJ,0 g,0 g,99 g,0 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/halstablett-blue-extra-strong-sockerfri-72g-vicks/1528034
Glass Chocolate & Vanilla Half Baked 465ml Ben & Jerrys,"80,00 kr","0.465L 172,04 kr/l",265 kcal,1111 kJ,13 g,8.1 g,32 g,27 g,4.2 g,0.21 g,1.3 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/glass-chocolate-vanilla-half-baked-465ml-ben-jerrys/2054683
Tuggummi Professional Strong mint 29g Extra,"22,90 kr","0.029kg 789,66 kr/kg",147 kcal,614 kJ,0 g,0 g,61 g,0 g,0 g,0 g,,61 g,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/tuggummi-professional-strong-mint-29g-extra/1284149
Gräddglass Choklad 500ml SIA Glass,"24,90 kr","0.5L 49,80 kr/l",250 kcal,1050 kJ,13 g,6.3 g,27 g,26 g,4.7 g,0.1 g,0 g,0 g,,0 µg,0 µg,0 µg,0 µg,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/gr%C3%A4ddglass-choklad-500ml-sia-glass/1008927
Sötpotatischips 100g ICA I love eco,"36,90 kr","0.1kg 369,00 kr/kg",537 kcal,2235 kJ,39 g,3.3 g,39 g,22 g,9.1 g,1.4 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/s%C3%B6tpotatischips-100g-ica-i-love-eco/2075230
Dipmix Ranch 24g Estrella,"14,90 kr","0.024kg 620,83 kr/kg",325 kcal,1360 kJ,2.9 g,1.3 g,65 g,32 g,7.3 g,15.7 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/dipmix-ranch-24g-estrella/1485218
Majskoner Choklad Smash 100g OLW,"40,90 kr","0.1kg 409,00 kr/kg",540 kcal,2240 kJ,33 g,17 g,52 g,39 g,8.1 g,0.87 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/majskoner-choklad-smash-100g-olw/2004857
