Name,Price,Size,Energi (kcal),Energi (kJ),Fett,Varav mättat fett,Kolhydrat,Varav sockerarter,Protein,Salt,Fiber,Varav polyoler,Fosfor,Vitamin B12,Vitamin D,Folsyra,Selen,Järn,Magnesium,Zink,Varav enkelomättat fett,Varav fleromättat fett,Fluorid,Vitamin B6,Natrium,Kalcium,Material,Kalium,Vitamin E,Pantotensyra,url
Bar Peanut Dark Chocolate 40g BE-KIND,"26,90 kr","0.04kg 672,50 kr/kg",520 kcal,2175 kJ,31 g,7.5 g,35 g,23 g,20 g,0.22 g,6 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/bar-peanut-dark-chocolate-40g-be-kind/2051347
Dipmix Sourcream & Onion 24g Estrella,"14,90 kr","0.024kg 620,83 kr/kg",310 kcal,1300 kJ,4.2 g,2.6 g,60 g,36 g,6.5 g,19 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/dipmix-sourcream-onion-24g-estrella/1387127
Dippmix Holiday 26g Estrella,"14,90 kr","0.026kg 573,08 kr/kg",298 kcal,1264 kJ,2.5 g,0.5 g,66 g,31 g,6.4 g,20.8 g,3.5 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/dippmix-holiday-26g-estrella/1004154
Glass Sitting Bull 1-p Triumf Glass,"20,90 kr","0.094L 222,34 kr/l",330 kcal,1350 kJ,19 g,8.8 g,35 g,35 g,2.2 g,0.15 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/glass-sitting-bull-1-p-triumf-glass/2086186
Sötmandel 400g ICA Basic,"62,00 kr","0.4kg 155,00 kr/kg",614 kcal,2543 kJ,52 g,4.9 g,13 g,6.6 g,20 g,0.03 g,7.2 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/s%C3%B6tmandel-400g-ica-basic/2109464
Wasabinötter 250g Exotic Snacks,"42,90 kr",,460 kcal,1900 kJ,19 g,6.2 g,60 g,23 g,10 g,1 g,2.8 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/wasabin%C3%B6tter-250g-exotic-snacks/2090313
Mjölkchoklad 74g Marabou,"31,90 kr","0.074kg 431,08 kr/kg",550 kcal,2290 kJ,32 g,19.5 g,59 g,58.5 g,4.6 g,0.33 g,2 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/mj%C3%B6lkchoklad-74g-marabou/1005067
Chips Hot Ranch 275g OLW,"39,90 kr","0.275kg 145,09 kr/kg",520 kcal,2200 kJ,33 g,3.5 g,57 g,3.1 g,5.1 g,1.5 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/chips-hot-ranch-275g-olw/2051330
Lättrostade skalade Pistagenötter 70g ICA Gott Liv,"69,00 kr","0.07kg 985,71 kr/kg",606 kcal,2536 kJ,48 g,6.1 g,21 g,6.8 g,20 g,0 g,3 g,,500 mg,,,,,6.7 mg,158 mg,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4ttrostade-skalade-pistagen%C3%B6tter-70g-ica-gott-liv/1484571
Pingvinstång Jordgubb 27g Toms,"7,90 kr","0.027kg 292,59 kr/kg",365 kcal,1548 kJ,2.4 g,2.2 g,84 g,69 g,1.2 g,0.12 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pingvinst%C3%A5ng-jordgubb-27g-toms/1128785
Chokladsås 300g ICA,"38,90 kr","0.3kg 129,67 kr/kg",315 kcal,1331 kJ,5 g,4.5 g,65 g,34 g,1.5 g,0.3 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/choklads%C3%A5s-300g-ica/1278642
Halstabletter Original Sockerfri 25g Fisherman's Friend,"20,90 kr","0.025kg 836,00 kr/kg",250 kcal,1044 kJ,0.6 g,0.6 g,97 g,1.5 g,0.5 g,0.24 g,0.21 g,91 g,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/halstabletter-original-sockerfri-25g-fisherman-s-friend/1001920
Godis Gott & Blandat Original 210g Malaco,"26,90 kr","0.21kg 128,10 kr/kg",351 kcal,1489 kJ,0.3 g,0.2 g,86 g,59 g,0.5 g,0.16 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/godis-gott-blandat-original-210g-malaco/1297807
Godis Happy Cherries Sour 75g Haribo,"13,90 kr","0.075kg 185,33 kr/kg",345 kcal,1465 kJ,0.5 g,0.1 g,80 g,50 g,5.3 g,0.01 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/godis-happy-cherries-sour-75g-haribo/2117683
Chips Gin & tonic LTD 150g Gårdschips,"32,90 kr","0.15kg 219,33 kr/kg",501 kcal,2097 kJ,29 g,1.8 g,49 g,4.4 g,8 g,0.6 g,5.9 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/chips-gin-tonic-ltd-150g-g%C3%A5rdschips/2149797
Glass Chunky Monkey 465ml Ben & Jerrys,"80,00 kr","0.465L 172,04 kr/l",278 kcal,1168 kJ,17 g,9.7 g,28 g,27 g,4.1 g,0.15 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/glass-chunky-monkey-465ml-ben-jerrys/2130365
LantChips Gräddfil 200g LantChips,"30,90 kr","0.2kg 154,50 kr/kg",500 kcal,2092 kJ,27 g,2.7 g,56 g,0.8 g,8.3 g,1.2 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/lantchips-gr%C3%A4ddfil-200g-lantchips/2138835
Vår Finaste Choklad Stracciatella 500ml SIA GLASS,"63,00 kr","0.5L 126,00 kr/l",310 kcal,1300 kJ,21 g,13 g,25 g,24 g,3 g,0.2 g,0 g,0 g,,0 µg,0 µg,0 µg,0 µg,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/v%C3%A5r-finaste-choklad-stracciatella-500ml-sia-glass/2109129
Glass Gammeldags Vanilj 500ml GB Gräddglass,"24,90 kr","0.5L 49,80 kr/l",117 kcal,488 kJ,8 g,5.3 g,9.1 g,9.1 g,2 g,0.07 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/glass-gammeldags-vanilj-500ml-gb-gr%C3%A4ddglass/2067304
Chokladstycksak Dumle Crunchy Lakrits 55g Fazer,"19,90 kr","0.055kg 361,82 kr/kg",465 kcal,1949 kJ,22 g,14 g,60 g,49 g,5.6 g,0.64 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/chokladstycksak-dumle-crunchy-lakrits-55g-fazer/2134213
Cashewnötter Salta 100g ICA,"29,90 kr","0.1kg 299,00 kr/kg",619 kcal,2567 kJ,50 g,9.3 g,22 g,5.9 g,19 g,0.68 g,3.8 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/cashewn%C3%B6tter-salta-100g-ica/1026234
Aprikoser Torkade 200g ICA,"42,90 kr","0.2kg 214,50 kr/kg",260 kcal,1100 kJ,0.6 g,0 g,56 g,28 g,4.3 g,0 g,5.4 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/aprikoser-torkade-200g-ica/1347501
Marsipan bar Cognac 40g Anthon Berg,"17,90 kr","0.04kg 447,50 kr/kg",498 kcal,2083 kJ,26 g,7.7 g,52 g,36 g,8.2 g,0.01 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/marsipan-bar-cognac-40g-anthon-berg/1002307
Vingummin Sour 175g Treatville,"22,90 kr","0.175kg 130,86 kr/kg",338 kcal,1437 kJ,0.5 g,0.1 g,80 g,50 g,4 g,0.16 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/vingummin-sour-175g-treatville/2065035
Skumgodis Foam Fever 70g Tweek,"39,90 kr","0.07kg 570,00 kr/kg",150 kcal,608 kJ,0.91 g,0 g,10.9 g,1.29 g,4.01 g,0.05 g,56 g,7.61 g,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/skumgodis-foam-fever-70g-tweek/2127591
Wasabinötter 150g ICA,"26,90 kr","0.15kg 179,33 kr/kg",521 kcal,2182 kJ,32 g,4.6 g,42 g,7.5 g,15 g,2.5 g,4.7 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/wasabin%C3%B6tter-150g-ica/2165535
